Kanji,English,Meaning(1),Meaning(2),Meaning(3),Meaning(4),Meaning(5),Meaning(6)
愛, あい -love,,,,,,
愛情, あいじょう -love, affection,,,,,
合図, あいず -sign, signal,,,,,
相手, あいて -companion, partner, company,,,,
あいにく -unfortunately, Sorry, but....,,,,,
空き, あき -room, time to spare, emptiness,,,,
明らか, あきらか -obvious, evident, clear,,,,
諦める, あきらめる -to give up, to abandon,,,,,
飽きる, あきる -to get tired of, to lose interest in, to have enough,,,,
握手, あくしゅ -handshake,,,,,,
悪魔, あくま -devil, demon, evil spirit,,,,
明ける, あける -to dawn, to become daylight,,,,,
預ける, あずける -to give into custody, to entrust, to deposit,,,,
汗, あせ -sweat, perspiration,,,,,
与える, あたえる -to give, to present, to award,,,,
辺り, あたり -vicinity, nearby,,,,,
当たる, あたる -to be hit, to be successful, to be equivalent to,,,,
あちこち -here and there,,,,,,,
あっ -Ah!, Oh!,,,,,,
扱う, あつかう -to handle, to deal with, to treat,,,,
集まり, あつまり -gathering, meeting, assembly, collection,,,
当てる, あてる -to hit, to apply a patch,,,,,
跡, あと -(1) trace, tracks, mark, sign, (2) remains, ruins, (3) scar
穴, あな -hole,,,,,,
浴びる, あびる -to bathe, to bask in the sun, to shower,,,,
油, あぶら -oil,,,,,,
誤り, あやまり -error,,,,,,
粗い, あらい -Coarse,,,,,,
新た, あらた -new, fresh, novel,,,,
あらゆる -all, every,,,,,,
表す, あらわす -to express, to show, to reveal,,,,
現す, あらわす -to show, to indicate, to display,,,,
現れる, あらわれる -(1) to appear, to come in sight, to become visible,(2) to express oneself,,,
或, ある -a certain...,some...,,,,,
合わせる, あわせる -to join together, to be opposite, to face, to unite,,,
案, あん -plan, suffix meaning draft,,,,,
案内, あんないする -information, guidance, leading, to guide,,,
あんなに -to that extent, to that degree,,,,,,
あんまり -not very, not much, remainder, rest,,,,
胃, い -stomach,,,,,,
委員, いいん -committee member,,,,,,
息, いき -breath, tone,,,,,
勢い, いきおい -force, vigour, energy, spirit,,,
生き物, いきもの -living thing, animal,,,,,
幾つ, いくつ -how many?, how old?,,,,,
幾ら, いくら -how much?,,,,,,
いけない -must not do, bad, wrong, not good,,,,
意思, いし -mind, intention,,,,,
意志, いし -will, volition,,,,,
維持, いじ -maintenance, preservation,,,,,
意識, いしき -consciousness, senses,,,,,
異常, いじょう -strangeness, abnormality, disorder,,,,
椅子, いす -chair,,,,,,
泉, いずみ -spring, fountain,,,,,
いずれ -which, either, one,,,,,
以前, いぜん -ago since, before, previous,,,,
板, いた -board, plank,,,,,
偉大, いだい -greatness,,,,,,
抱く, いだく -(sl) to embrace, to hug, to harbour, to entertain,,,
頂く, いただく -to receive, to take food or drink (hum),,,,,
位置, いち -place, situation, position, location,,,
一度に, いちどに -all at once,,,,,,
一家, いっか -a house, a home, a family, a household,,,
いつか -sometime, someday, one day,,,,,
一種, いっしゅ -a species, a kind, a variety,,,,
一瞬, いっしゅん -a moment, an instant,,,,,
一層, いっそう -much more, still more, all the more,,,,
一体, いったい -(1) one object, one body,(2) what on earth?, really?,(3) generally,,
いつでも -(at) any time, always, at all times, never (neg),,,,
一般, いっぱん -general, liberal, universal, ordinary, average,,
一方, いっぽう -(1) on the other hand,(2) meanwhile,(3) only, simple, in turn,,
いつまでも -forever, for good, eternally, as long as one likes, indefinitely,,,
いつも -always, usually, every time, never (with neg. verb),,,,
